pde,model,beta,grid_size,adaptive,best_l2,n_params,train_time_s
convection,MLP,1,,False,0.000961156387347728,50049,306.8
convection,MLP,1,,True,0.001052401727065444,50049,404.0
convection,KINN,1,5.0,False,0.0005339999333955348,400,508.3
convection,KINN,1,10.0,False,0.00028609944274649024,600,913.8
convection,KINN,1,20.0,False,0.0008683245396241546,1000,1597.3
convection,KINN,1,50.0,False,0.0004706920881289989,2200,3701.1
convection,KINN,1,20.0,True,0.0009192409925162792,1000,1590.6
convection,MLP,10,,False,0.0015032000374048948,50049,330.7
convection,MLP,10,,True,0.0028264860156923532,50049,328.0
convection,KINN,10,5.0,False,0.0012066810159012675,400,609.1
convection,KINN,10,10.0,False,0.005008472595363855,600,788.7
convection,KINN,10,20.0,False,0.0027496644761413336,1000,1604.8
convection,KINN,10,50.0,False,0.003818484954535961,2200,3430.5
convection,KINN,10,20.0,True,0.0021286034025251865,1000,1474.3
convection,MLP,30,,False,0.002629754599183798,50049,517.4
convection,MLP,30,,True,0.0035392502322793007,50049,577.5
convection,KINN,30,5.0,False,0.6651004552841187,400,959.0
convection,KINN,30,10.0,False,0.6087968945503235,600,1553.8
convection,KINN,30,20.0,False,0.6745030283927917,1000,3031.1
convection,KINN,30,50.0,False,0.6123414635658264,2200,3633.5
convection,KINN,30,20.0,True,0.05059822276234627,1000,3056.7
convection,MLP,50,,False,0.8561832904815674,50049,330.8
convection,MLP,50,,True,0.020670710131525993,50049,620.8
convection,KINN,50,5.0,False,0.7859097719192505,400,876.8
convection,KINN,50,10.0,False,0.7808475494384766,600,1549.6
convection,KINN,50,20.0,False,0.8656441569328308,1000,3038.1
convection,KINN,50,50.0,False,0.8691791892051697,2200,7011.8
convection,KINN,50,20.0,True,0.699524462223053,1000,3039.9
