beta,grid_size,best_l2,n_params,train_time_s
1,5,0.0005339999333955348,400,508.3
1,10,0.00028609944274649024,600,913.8
1,20,0.0008683245396241546,1000,1597.3
1,50,0.0004706920881289989,2200,3701.1
10,5,0.0012066810159012675,400,609.1
10,10,0.005008472595363855,600,788.7
10,20,0.0027496644761413336,1000,1604.8
10,50,0.003818484954535961,2200,3430.5
30,5,0.6651004552841187,400,959.0
30,10,0.6087968945503235,600,1553.8
30,20,0.6745030283927917,1000,3031.1
30,50,0.6123414635658264,2200,3633.5
50,5,0.7859097719192505,400,876.8
50,10,0.7808475494384766,600,1549.6
50,20,0.8656441569328308,1000,3038.1
50,50,0.8691791892051697,2200,7011.8
