pde,model,n,k,grid_size,adaptive,best_l2,n_params,train_time_s
helmholtz,MLP,1,1.0,,False,0.0002533728547859937,50049,982.5
helmholtz,MLP,1,1.0,,True,2.110545574396383e-05,50049,1029.6
helmholtz,KINN,1,1.0,10.0,False,0.002145762089639902,600,2606.5
helmholtz,KINN,1,1.0,30.0,False,0.031018756330013275,1400,4121.8
helmholtz,KINN,1,1.0,10.0,True,0.00031264108838513494,600,2615.9
helmholtz,KINN,1,1.0,30.0,True,0.0013476761523634195,1400,1622.8
helmholtz,MLP,4,1.0,,False,0.04763837531208992,50049,1540.6
helmholtz,MLP,4,1.0,,True,0.0017071085749194026,50049,1545.6
helmholtz,KINN,4,1.0,10.0,False,0.24803701043128967,600,2042.5
helmholtz,KINN,4,1.0,30.0,False,0.2416858971118927,1400,6223.9
helmholtz,KINN,4,1.0,10.0,True,0.17349335551261902,600,2585.1
helmholtz,KINN,4,1.0,30.0,True,0.030190913006663322,1400,7968.9
helmholtz,MLP,8,1.0,,False,0.6354440450668335,50049,1177.5
helmholtz,MLP,8,1.0,,True,0.038468074053525925,50049,1542.2
helmholtz,KINN,8,1.0,10.0,False,0.6789907217025757,600,2247.3
helmholtz,KINN,8,1.0,30.0,False,0.5134406089782715,1400,6156.8
helmholtz,KINN,8,1.0,10.0,True,0.6735096573829651,600,2282.9
helmholtz,KINN,8,1.0,30.0,True,0.513516366481781,1400,6215.3
