pde,model,n,grid_size,adaptive,epoch,phase,total,ic,bc,l2,w_pde,w_ic,w_bc
400998.375,MLP,8,,False,100,adam,401004.6875,0.0,6.300765037536621,3.915186882019043,1.0,1.0,1.0
387931.40625,MLP,8,,False,200,adam,387964.90625,0.0,33.4896354675293,10.197063446044922,1.0,1.0,1.0
302134.34375,MLP,8,,False,300,adam,302209.4375,0.0,75.08912658691406,15.185786247253418,1.0,1.0,1.0
264168.78125,MLP,8,,False,400,adam,264277.53125,0.0,108.74649047851562,17.85493278503418,1.0,1.0,1.0
256946.96875,MLP,8,,False,500,adam,257057.953125,0.0,110.98055267333984,18.18096351623535,1.0,1.0,1.0
247249.8125,MLP,8,,False,600,adam,247349.5,0.0,99.68473815917969,17.187952041625977,1.0,1.0,1.0
236956.546875,MLP,8,,False,700,adam,237053.109375,0.0,96.56269836425781,16.66853904724121,1.0,1.0,1.0
228991.046875,MLP,8,,False,800,adam,229088.046875,0.0,96.99359130859375,16.358774185180664,1.0,1.0,1.0
222687.796875,MLP,8,,False,900,adam,222786.328125,0.0,98.526611328125,16.329452514648438,1.0,1.0,1.0
213787.578125,MLP,8,,False,1000,adam,213887.0,0.0,99.41551971435547,16.489227294921875,1.0,1.0,1.0
204786.109375,MLP,8,,False,1100,adam,204885.28125,0.0,99.17511749267578,16.664384841918945,1.0,1.0,1.0
192772.25,MLP,8,,False,1200,adam,192870.5625,0.0,98.31981658935547,16.93924903869629,1.0,1.0,1.0
178269.921875,MLP,8,,False,1300,adam,178371.0625,0.0,101.14271545410156,17.44970703125,1.0,1.0,1.0
163211.09375,MLP,8,,False,1400,adam,163317.359375,0.0,106.26583099365234,17.778705596923828,1.0,1.0,1.0
148787.578125,MLP,8,,False,1500,adam,148901.46875,0.0,113.89411163330078,18.15515899658203,1.0,1.0,1.0
136874.65625,MLP,8,,False,1600,adam,136988.90625,0.0,114.2532958984375,18.083133697509766,1.0,1.0,1.0
125645.1640625,MLP,8,,False,1700,adam,125759.15625,0.0,113.9912109375,17.908489227294922,1.0,1.0,1.0
115286.8125,MLP,8,,False,1800,adam,115402.609375,0.0,115.79800415039062,17.688270568847656,1.0,1.0,1.0
106352.421875,MLP,8,,False,1900,adam,106472.375,0.0,119.9546890258789,17.581432342529297,1.0,1.0,1.0
97708.6640625,MLP,8,,False,2000,adam,97832.2265625,0.0,123.56417083740234,17.557483673095703,1.0,1.0,1.0
91200.640625,MLP,8,,False,2100,adam,91328.515625,0.0,127.87864685058594,17.648754119873047,1.0,1.0,1.0
85328.6875,MLP,8,,False,2200,adam,85462.328125,0.0,133.64125061035156,17.843040466308594,1.0,1.0,1.0
79607.53125,MLP,8,,False,2300,adam,79746.828125,0.0,139.29806518554688,18.05708885192871,1.0,1.0,1.0
