model,depth,width,grid_size,best_l2,n_params,train_time_s
MLP,3,32,,0.007288496010005474,2241,67.2
MLP,3,64,,0.003456808626651764,8577,74.4
MLP,4,64,,0.0025960763450711966,12737,86.5
MLP,4,128,,0.0010353417601436377,50049,148.7
MLP,5,128,,0.0016527932602912188,66561,187.0
MLP,6,128,,0.0007302554440684617,83073,208.0
KINN,3,5,5.0,0.000653464172501117,400,462.3
KINN,3,5,10.0,0.005832474213093519,600,348.8
KINN,3,5,20.0,0.00157383072655648,1000,582.2
KINN,3,5,50.0,0.0020784528460353613,2200,1641.2
KINN,4,5,5.0,0.003616370726376772,650,464.1
KINN,4,5,10.0,0.0022917056921869516,975,471.4
KINN,3,10,10.0,0.0007339559379033744,1950,1430.9
KINN,3,10,20.0,0.006303978152573109,3250,1416.4
