model,depth,width,grid_size,best_l2,n_params,train_time_s
MLP,3,32,,6.978370666503906,2209,135.7
MLP,3,64,,1.9377968311309814,8513,124.4
MLP,4,64,,3.2120790481567383,12673,118.4
MLP,4,128,,17.174348831176758,49921,198.5
MLP,5,128,,11.481103897094727,66433,222.8
MLP,6,128,,3.2879741191864014,82945,270.1
KINN,3,5,5.0,0.8049160242080688,350,670.6
KINN,3,5,10.0,0.8090838193893433,525,675.1
KINN,3,5,20.0,0.9867221713066101,875,404.3
KINN,4,5,10.0,0.9099801778793335,900,887.4
KINN,3,10,10.0,0.6956081986427307,1800,629.8
KINN,3,10,20.0,0.8909701108932495,3000,937.4
